date,domestic violence,domestic abuse,restraining order,order of protection
2020-01-10,28,0,28,44
2020-01-11,0,0,0,51
2020-01-12,16,36,0,50
2020-01-13,40,0,0,0
2020-01-14,13,0,0,42
2020-01-15,29,0,56,45
2020-01-16,30,0,0,47
2020-01-17,31,0,0,0
2020-01-18,0,40,0,56
2020-01-19,0,0,0,54
2020-01-20,31,0,0,0
2020-01-21,15,0,0,46
2020-01-22,30,0,29,0
2020-01-23,59,66,0,46
2020-01-24,42,31,0,0
2020-01-25,49,0,32,51
2020-01-26,0,0,30,48
2020-01-27,26,29,26,41
2020-01-28,27,0,81,43
2020-01-29,0,0,27,43
2020-01-30,28,0,0,0
2020-01-31,86,64,0,0
2020-02-01,16,36,0,0
2020-02-02,16,0,0,0
2020-02-03,64,57,0,0
2020-02-04,41,0,0,0
2020-02-05,27,0,27,43
2020-02-06,14,0,27,87
2020-02-07,56,32,28,0
2020-02-08,33,0,0,0
2020-02-09,16,0,32,0
2020-02-10,13,0,26,42
2020-02-11,13,30,27,42
2020-02-12,54,0,53,0
2020-02-13,28,0,0,0
2020-02-14,28,32,0,45
2020-02-15,64,36,0,0
2020-02-16,0,0,0,0
2020-02-17,29,0,0,45
2020-02-18,27,30,26,0
2020-02-19,13,30,52,42
2020-02-20,40,0,80,0
2020-02-21,27,31,54,86
2020-02-22,16,0,0,0
2020-02-23,16,35,31,98
2020-02-24,39,0,0,83
2020-02-25,0,0,26,41
2020-02-26,39,0,0,81
2020-02-27,0,30,0,42
2020-02-28,55,0,27,0
2020-02-29,16,0,31,0
2020-03-01,48,36,0,0
2020-03-02,26,0,0,0
2020-03-03,26,29,0,0
2020-03-04,65,0,26,0
2020-03-05,13,30,26,42
2020-03-06,0,0,0,42
2020-03-07,0,35,31,0
2020-03-08,0,36,0,0
2020-03-09,26,29,26,41
2020-03-10,52,0,0,0
2020-03-11,0,0,51,0
2020-03-12,37,28,0,39
2020-03-13,26,0,0,0
2020-03-14,15,35,0,0
2020-03-15,0,0,30,47
2020-03-16,0,0,0,0
2020-03-17,0,0,0,0
2020-03-18,25,29,0,40
2020-03-19,13,0,0,40
2020-03-20,0,0,0,39
2020-03-21,15,0,0,0
2020-03-22,15,0,0,0
2020-03-23,89,29,0,40
2020-03-24,53,0,0,0
2020-03-25,41,0,0,42
2020-03-26,13,0,53,0
2020-03-27,0,0,0,0
2020-03-28,29,0,0,45
2020-03-29,28,63,0,44
2020-03-30,13,0,0,0
2020-03-31,12,0,24,0
2020-04-01,13,28,0,40
2020-04-02,13,0,25,0
2020-04-03,13,29,0,0
2020-04-04,43,0,0,0
2020-04-05,29,0,0,46
2020-04-06,50,0,0,39
2020-04-07,13,0,26,0
2020-04-08,13,0,0,79
2020-04-09,50,56,0,0
2020-04-10,13,0,0,84
2020-04-11,0,66,0,46
2020-04-12,29,66,0,0
2020-04-13,25,28,25,80
2020-04-14,12,27,0,0
2020-04-15,23,0,0,74
2020-04-16,47,27,0,0
2020-04-17,12,0,0,0
2020-04-18,14,0,0,0
2020-04-19,29,0,0,0
2020-04-20,61,28,0,0
2020-04-21,60,0,0,0
2020-04-22,24,0,0,0
2020-04-23,24,27,0,0
2020-04-24,24,27,24,0
2020-04-25,40,0,0,0
2020-04-26,29,0,0,0
2020-04-27,100,0,74,0
2020-04-28,12,0,24,39
2020-04-29,24,0,0,75
2020-04-30,48,0,0,0
2020-05-01,90,0,25,40
2020-05-02,15,34,30,0
2020-05-03,15,0,0,47
2020-05-04,0,0,49,0
2020-05-05,34,0,0,0
2020-05-06,12,0,25,39
2020-05-07,25,0,25,40
2020-05-08,75,56,25,0
2020-05-09,29,0,0,0
2020-05-10,43,0,0,0
2020-05-11,38,0,100,0
2020-05-12,26,0,25,80
2020-05-13,13,0,0,0
2020-05-14,25,28,0,39
2020-05-15,52,0,0,82
2020-05-16,15,0,0,47
2020-05-17,28,0,28,0
2020-05-18,25,0,0,0
2020-05-19,37,0,0,39
2020-05-20,0,57,50,0
2020-05-21,13,0,26,0
2020-05-22,27,0,0,0
2020-05-23,15,0,30,0
2020-05-24,0,36,31,100
2020-05-25,15,68,30,0
2020-05-26,40,0,26,83
2020-05-27,52,0,26,82
2020-05-28,13,29,0,0
2020-05-29,68,0,0,43
2020-05-30,47,35,0,0
2020-05-31,16,0,0,0
2020-06-01,53,0,26,0
2020-06-02,40,61,0,42
2020-06-03,52,0,0,41
2020-06-04,0,29,0,40
2020-06-05,26,0,0,0
2020-06-06,0,0,31,0
2020-06-07,32,0,0,0
2020-06-08,38,0,0,40
2020-06-09,12,0,0,0
2020-06-10,0,59,0,41
2020-06-11,27,0,27,43
2020-06-12,28,0,0,0
2020-06-13,0,0,0,51
2020-06-14,16,0,0,0
2020-06-15,56,31,28,44
2020-06-16,27,30,0,42
2020-06-17,41,0,27,43
2020-06-18,14,0,0,0
2020-06-19,14,32,0,90
2020-06-20,0,35,0,49
2020-06-21,0,0,0,0
2020-06-22,14,0,0,0
2020-06-23,55,31,0,43
2020-06-24,69,0,0,87
2020-06-25,14,0,27,44
2020-06-26,14,0,0,0
2020-06-27,0,0,0,49
2020-06-28,31,0,0,0
2020-06-29,55,31,0,43
2020-06-30,14,0,0,0
2020-07-01,14,0,28,44
2020-07-02,29,0,0,0
2020-07-03,0,0,31,0
2020-07-04,0,40,70,0
2020-07-05,35,0,0,0
2020-07-06,14,31,27,0
2020-07-07,28,0,0,44
2020-07-08,14,63,28,44
2020-07-09,14,0,27,44
2020-07-10,29,0,0,46
2020-07-11,16,0,32,0
2020-07-12,16,0,0,52
2020-07-13,28,31,0,44
2020-07-14,14,95,0,0
2020-07-15,28,32,0,44
2020-07-16,14,63,0,44
2020-07-17,15,0,0,92
2020-07-18,0,0,0,0
2020-07-19,0,37,0,0
2020-07-20,57,32,0,0
2020-07-21,28,0,0,0
2020-07-22,14,0,0,0
2020-07-23,0,0,0,0
2020-07-24,29,0,29,0
2020-07-25,0,0,32,0
2020-07-26,16,37,33,0
2020-07-27,85,64,0,0
2020-07-28,29,32,56,0
2020-07-29,14,32,0,0
2020-07-30,43,0,28,0
2020-07-31,30,100,0,0
2020-08-01,32,0,32,51
2020-08-02,32,0,32,51
2020-08-03,28,32,0,0
2020-08-04,14,0,0,0
2020-08-05,28,0,0,0
